Geographic Area,City,percent_completed_hs,poverty_rate
AL,Abanda CDP,21.2,78.8
AL,Abbeville city,69.1,29.1
AL,Adamsville city,78.9,25.5
AL,Addison town,81.4,30.7
AL,Akron town,68.6,42
AL,Alabaster city,89.3,11.2
AL,Albertville city,72.7,26.7
AL,Alexander City city,78.1,30.4
AL,Alexandria CDP,88.8,9.7
AL,Aliceville city,74.3,41.3
AL,Allgood town,48.1,27.7
AL,Altoona town,66.9,27.5
AL,Andalusia city,81.1,24.5
AL,Anderson town,85.7,13.8
AL,Anniston city,79.8,31.7
AL,Arab city,87.6,16.7
AL,Ardmore town,77.7,19.1
AL,Argo town,87.5,8.6
AL,Ariton town,71.3,37.6
AL,Arley town,80.6,31.6
AL,Ashford town,83.5,18.8
AL,Ashland town,77.9,22.4
AL,Ashville city,77.6,28.3
AL,Athens city,83.4,13
AL,Atmore city,73.7,24.7
AL,Attalla city,76,20.3
AL,Auburn city,94.3,31.8
AL,Autaugaville town,71.2,24.1
AL,Avon town,82.8,22.2
AL,Axis CDP,79.9,6.8
AL,Babbie town,81.2,15.7
AL,Baileyton town,74.7,28.6
AL,Bakerhill town,72.4,19.1
AL,Ballplay CDP,80.3,7.1
AL,Banks town,73,38.2
AL,Bay Minette city,79.1,26.3
AL,Bayou La Batre city,58.5,30.1
AL,Bear Creek town,76.7,25.3
AL,Beatrice town,89.1,44.9
AL,Beaverton town,87.9,8.1
AL,Belgreen CDP,87,28.8
AL,Belk town,63.8,39.1
AL,Bellamy CDP,86.5,42.9
AL,Belle Fontaine CDP,91.9,36.7
AL,Benton town,100,0
AL,Berry town,65.4,30.9
AL,Bessemer city,81.5,32.9
AL,Billingsley town,71.3,20.5
AL,Birmingham city,85.1,30.9
AL,Black town,90,12.7
AL,Blountsville town,73.1,41.2
AL,Blue Ridge CDP,97.6,0.5
AL,Blue Springs town,95.6,4
AL,Boaz city,76.6,19.4
AL,Boligee town,79.9,60.3
AL,Bon Air town,85.7,47.6
AL,Bon Secour CDP,79,18.2
AL,Boykin CDP,53.7,53.7
AL,Brantley town,75.1,20.7
AL,Brantleyville CDP,85.1,19.2
AL,Brent city,73.8,17.3
AL,Brewton city,84.5,27.8
AL,Bridgeport city,74.9,34.7
AL,Brighton city,78.6,33
AL,Brilliant town,75.9,22.5
AL,Bristow Cove CDP,65.1,39.7
AL,Brook Highland CDP,96.2,11.5
AL,Brookside town,78.7,19.2
AL,Brookwood town,83.1,10.8
AL,Broomtown CDP,66.2,23.8
AL,Brundidge city,77.2,32.4
AL,Bucks CDP,100,0
AL,Butler town,80.2,25.3
AL,Calera city,89.1,5.8
AL,Calvert CDP,22.8,79.4
AL,Camden city,82.8,31.9
AL,Camp Hill town,76.6,36.6
AL,Carbon Hill city,65.4,32.2
AL,Cardiff town,72.7,30
AL,Carlisle-Rockledge CDP,73.1,17.2
AL,Carlton CDP,77,18.9
AL,Carolina town,87.8,7.4
AL,Carrollton town,71,29.1
AL,Castleberry town,75.9,39.6
AL,Catherine CDP,100,0
AL,Cedar Bluff town,77.9,25.8
AL,Center Point city,87.1,25
AL,Centre city,76.7,25.1
AL,Centreville city,81.6,22.4
AL,Chatom town,76,19.8
AL,Chelsea city,93.5,4.9
AL,Cherokee town,80.9,19.9
AL,Chickasaw city,79.9,33.6
AL,Childersburg city,78.8,38.6
AL,Choccolocco CDP,89.4,14.7
AL,Chunchula CDP,91.2,0
AL,Citronelle city,82.5,16.9
AL,Clanton city,76.8,16.9
AL,Clay city,92.2,6.6
AL,Clayhatchee town,85.3,16.4
AL,Clayton town,57.8,29.3
AL,Cleveland town,74.4,15
AL,Clio city,63.1,31.4
AL,Coaling town,88.2,19.5
AL,Coats Bend CDP,90.9,15
AL,Coffee Springs town,78,21.2
AL,Coffeeville town,71.7,41.3
AL,Coker town,89.2,10
AL,Collinsville town,52,32.1
AL,Colony town,77,24.8
AL,Columbia town,79,20.1
AL,Columbiana city,74.4,24
AL,Concord CDP,91.3,7.9
AL,Coosada town,84.3,23.5
AL,Cordova city,79.8,32.8
AL,Cottondale CDP,74.9,12.8
AL,Cottonwood town,76.3,29.8
AL,County Line town,83.9,10.7
AL,Courtland town,79.6,25.8
AL,Cowarts town,86,11.7
AL,Creola city,84.4,18.1
AL,Crossville town,70.4,38.1
AL,Cuba town,92.1,21
AL,Cullman city,85.3,21.9
AL,Cullomburg CDP,93.4,8.5
AL,Cusseta town,83.7,9.3
AL,Dadeville city,73.7,28.8
AL,Daleville city,85.3,24.5
AL,Daphne city,95.8,11.2
AL,Dauphin Island town,95.8,3.6
AL,Daviston town,87.8,12.9
AL,Dayton town,100,48
AL,Deatsville town,96.3,5.1
AL,Decatur city,82.7,21.2
AL,Deer Park CDP,86.3,28.1
AL,Delta CDP,87,0
AL,Demopolis city,89.1,31
AL,Detroit town,64.8,27.9
AL,Dodge City town,81.7,16.7
AL,Dora city,82.3,17.2
AL,Dothan city,86.2,19.1
AL,Double Springs town,74.5,27.5
AL,Douglas town,78.5,34.9
AL,Dozier town,79.1,30.3
AL,Dunnavant CDP,76,7.7
AL,Dutton town,90.6,24.2
AL,East Brewton city,83.6,30.6
AL,East Point CDP,91.4,0
AL,Eclectic town,84.2,13.4
AL,Edgewater CDP,84.1,26.5
AL,Edwardsville town,87,5.1
AL,Egypt CDP,84.9,4.5
AL,Elba city,76.9,31.1
AL,Elberta town,85.8,15.8
AL,Eldridge town,75,37.8
AL,Elkmont town,78.2,11.2
AL,Elmore town,70.5,30
AL,Emelle town,79.3,0
AL,Emerald Mountain CDP,90.9,8.2
AL,Enterprise city,89.2,16.3
AL,Epes town,81.6,24.8
AL,Ethelsville town,80.6,32.3
AL,Eufaula city,81.5,25.3
AL,Eunola CDP,96.1,0
AL,Eutaw town,73.2,32.7
AL,Eva town,91.2,11.1
AL,Evergreen city,79.2,52.6
AL,Excel town,86,18.6
AL,Fairfield city,88.9,23.4
AL,Fairford CDP,57.6,0
AL,Fairhope city,95.4,11.2
AL,Fairview town,82,24
AL,Falkville town,65.1,26
AL,Faunsdale town,85.7,30.2
AL,Fayette city,79.1,25.9
AL,Fayetteville CDP,68.5,15.3
AL,Fitzpatrick CDP,60.7,15.5
AL,Five Points town,61.9,20.4
AL,Flomaton town,77.3,30.2
AL,Florala town,79.6,30.1
AL,Florence city,84.4,24.6
AL,Foley city,91.5,18.9
AL,Forestdale CDP,93.5,17
AL,Forkland town,74.1,48.1
AL,Fort Deposit town,70.5,30.2
AL,Fort Payne city,67.7,19
AL,Fort Rucker CDP,98.8,8
AL,Franklin town,85,6.6
AL,Fredonia CDP,88.6,18.4
AL,Frisco City town,77.3,31.3
AL,Fruitdale CDP,93.3,33
AL,Fruithurst town,75.8,13.5
AL,Fulton town,76,19.9
AL,Fultondale city,85.1,14
AL,Fyffe town,83.7,12.8
AL,Gadsden city,78.3,29.4
AL,Gainesville town,76.7,40.9
AL,Gallant CDP,83.7,3.9
AL,Gantt town,85.6,8.3
AL,Garden City town,79.8,19.3
AL,Gardendale city,92.2,7.8
AL,Gaylesville town,78.4,19.3
AL,Geiger town,71.3,19.5
AL,Geneva city,78.1,30.3
AL,Georgiana town,71.1,35.5
AL,Geraldine town,84.2,13.8
AL,Gilbertown town,83.8,21.5
AL,Glen Allen town,76.5,21.4
AL,Glencoe city,86.6,11.1
AL,Glenwood town,84.8,13.6
AL,Goldville town,86.7,9.3
AL,Good Hope town,86.5,15.2
AL,Goodwater town,71.6,32.2
AL,Gordo town,80.4,26.3
AL,Gordon town,66.8,26.9
AL,Gordonville town,76.1,39.2
AL,Goshen town,71.2,31.9
AL,Graham CDP,74,4.5
AL,Grand Bay CDP,84.6,6.4
AL,Grant town,89.2,7.2
AL,Grayson Valley CDP,90.4,8.9
AL,Graysville city,79.8,17.4
AL,Greensboro city,75,39.3
AL,Greenville city,78.4,25.8
AL,Grimes town,84.5,19.1
AL,Grove Hill town,85.8,26.1
AL,Guin city,75.4,37.5
AL,Gulfcrest CDP,87.2,0
AL,Gulf Shores city,92.9,16.6
AL,Guntersville city,83.1,16.2
AL,Gurley town,74.5,30.8
AL,Gu-Win town,87.2,12
AL,Hackleburg town,76.5,25.7
AL,Hackneyville CDP,95.1,17.8
AL,Haleburg town,80,8.3
AL,Haleyville city,70.7,26.8
AL,Hamilton city,82.7,18.5
AL,Hammondville town,74.5,8
AL,Hanceville city,77.7,25.8
AL,Harpersville town,80.7,18.8
AL,Hartford city,70.6,36.7
AL,Hartselle city,91.9,6.9
AL,Harvest CDP,90.6,5.5
AL,Hatton CDP,83.2,0
AL,Hayden town,83.4,7.9
AL,Hayneville town,72.1,44.4
AL,Hazel Green CDP,88.2,14.9
AL,Headland city,88.1,13.1
AL,Heath town,80.3,32.5
AL,Heflin city,74.3,22.6
AL,Helena city,97.7,2.1
AL,Henagar city,71.7,19.4
AL,Highland Lake town,94.3,9.2
AL,Highland Lakes CDP,97.6,2
AL,Hillsboro town,74.6,17.6
AL,Hissop CDP,73.8,23.2
AL,Hobson CDP,63.6,0
AL,Hobson City town,77.3,41.3
AL,Hodges town,69.3,26.9
AL,Hokes Bluff city,89.2,13.7
AL,Hollins CDP,68.2,24.4
AL,Hollis Crossroads CDP,71.4,29
AL,Holly Pond town,90.4,19
AL,Hollywood town,71.3,20.3
AL,Holt CDP,75,46.4
AL,Holtville CDP,85.6,11.1
AL,Homewood city,93.5,12.7
AL,Hoover city,95.2,6
AL,Horn Hill town,66.3,10.2
AL,Hueytown city,86.5,14.3
AL,Huguley CDP,79.3,16.3
AL,Huntsville city,90.2,18.2
AL,Hurtsboro town,75.3,46
AL,Hytop town,70.6,14.7
AL,Ider town,80.5,15.4
AL,Indian Springs Village city,97.2,4.4
AL,Irondale city,87.4,20.5
AL,Ivalee CDP,77,0
AL,Jackson city,85.8,24.7
AL,Jacksons' Gap town,67.1,26.1
AL,Jacksonville city,89,31.2
AL,Jasper city,85.3,22.3
AL,Jemison city,77.8,24.9
AL,Joppa CDP,67.3,0
AL,Kansas town,66.4,25.3
AL,Kellyton town,71.3,29.8
AL,Kennedy town,82.6,10.9
AL,Killen town,87.1,17.7
AL,Kimberly city,89.4,6.3
AL,Kinsey town,75.9,16.2
AL,Kinston town,69.5,30.2
AL,Ladonia CDP,84.4,26
AL,La Fayette city,69.7,24.8
AL,Lakeview town,92.3,13.5
AL,Lake View town,95.7,2.2
AL,Lanett city,77.2,29.8
AL,Langston town,85.1,24.6
AL,Leeds city,87.2,15.4
AL,Leesburg town,80.5,18
AL,Leighton town,71.9,25.6
AL,Leroy CDP,99.3,6.7
AL,Lester town,89,16.1
AL,Level Plains town,91.3,11.1
AL,Lexington town,87.1,21.3
AL,Libertyville town,77.3,4.8
AL,Lillian CDP,96.6,11.6
AL,Lincoln city,87.5,12.7
AL,Linden city,87.1,25.1
AL,Lineville city,77.8,12.9
AL,Lipscomb city,71,30.6
AL,Lisman town,67.2,44.9
AL,Littleville town,81.8,7.7
AL,Livingston city,86,55.2
AL,Loachapoka town,89.5,31.8
AL,Lockhart town,82.2,14.9
AL,Locust Fork town,81.9,14.2
AL,Lookout Mountain CDP,82.3,14.9
AL,Louisville town,65.7,11.8
AL,Lowndesboro town,90.2,3.4
AL,Loxley town,85.3,20
AL,Luverne city,77.9,20.3
AL,Lynn town,74.8,27.9
AL,McDonald Chapel CDP,60.3,62.6
AL,Macedonia CDP,81.4,4.2
AL,McIntosh town,95.8,13.7
AL,McKenzie town,75.5,22.5
AL,McMullen town,40,40
AL,Madison city,95.7,6.7
AL,Madrid town,70.6,14.9
AL,Magnolia Springs town,89.1,5.3
AL,Malcolm CDP,90.1,63.7
AL,Malvern town,74,19.8
AL,Maplesville town,77.3,29.1
AL,Marbury CDP,83.8,9.9
AL,Margaret town,92.5,10.1
AL,Marion city,81.4,33
AL,Maytown town,88.4,9.2
AL,Meadowbrook CDP,94,6.5
AL,Megargel CDP,53.1,46.9
AL,Memphis town,29.4,60.5
AL,Mentone town,87.5,10.9
AL,Meridianville CDP,86.6,15.4
AL,Midfield city,90.2,20.1
AL,Midland City town,79.3,31.5
AL,Midway town,58.3,43.1
AL,Mignon CDP,75.2,26
AL,Millbrook city,91.3,11.6
AL,Millerville CDP,70.7,8.8
AL,Millport town,79.6,22.4
AL,Millry town,86.1,26
AL,Minor CDP,88.9,10.8
AL,Mobile city,86.9,23.3
AL,Monroeville city,82.3,36.7
AL,Montevallo city,86.6,25.5
AL,Montgomery city,85.5,24.1
AL,Moody city,87.9,9.9
AL,Moores Mill CDP,91,11.1
AL,Mooresville town,83.1,0
AL,Morris town,84.9,5.8
AL,Morrison Crossroads CDP,93.8,9.5
AL,Mosses town,60.4,55.8
AL,Moulton city,79.2,24.3
AL,Moundville town,77.3,18.7
AL,Mountain Brook city,99.5,3
AL,Mount Olive CDP (Coosa County),87.3,1.7
AL,Mount Olive CDP (Jefferson County),92.5,11
AL,Mount Vernon town,80.8,31.3
AL,Movico CDP,81.9,12.9
AL,Mulga town,72,30.5
AL,Munford town,87.3,18.8
AL,Muscle Shoals city,88.7,10.7
AL,Myrtlewood town,72.5,7
AL,Nanafalia CDP,94,29.7
AL,Nances Creek CDP,79.1,0
AL,Napier Field town,80.2,21.7
AL,Natural Bridge town,65.7,2.3
AL,Nauvoo town,67.2,26.2
AL,Nectar town,78.3,18.3
AL,Needham town,83.7,1.9
AL,Newbern town,74.6,35
AL,New Brockton town,79.8,20.9
AL,New Hope city,84.3,14.8
AL,New Market CDP,86.9,0
AL,New Site town,82.1,9.6
AL,Newton town,82.3,17.7
AL,New Union CDP,84,27.9
AL,Newville town,73,21
AL,North Courtland town,71.3,22.4
AL,North Johns town,75.6,11.7
AL,Northport city,90.2,13.7
AL,Notasulga town,80.7,29.5
AL,Oak Grove town,73,13.1
AL,Oak Hill town,27.3,72.7
AL,Oakman town,72.2,21.4
AL,Odenville town,76.4,16.2
AL,Ohatchee town,82,14.8
AL,Oneonta city,73.9,12.8
AL,Onycha town,60.5,23.4
AL,Opelika city,83.7,23
AL,Opp city,77.4,25.9
AL,Orange Beach city,92.6,10.5
AL,Orrville town,71.4,37.3
AL,Our Town CDP,78.6,0
AL,Owens Cross Roads town,86.7,9.5
AL,Oxford city,83.5,11.7
AL,Ozark city,82.5,23.1
AL,Paint Rock town,77.5,35.6
AL,Panola CDP,38.1,40.6
AL,Parrish town,75.3,15.8
AL,Pelham city,92.2,4.6
AL,Pell City city,86.5,20.8
AL,Pennington town,69.9,34.9
AL,Penton CDP,51.2,30.9
AL,Perdido CDP,78.5,39.5
AL,Perdido Beach town,86.3,17.7
AL,Peterman CDP,97.2,14.2
AL,Petrey town,86.5,0
AL,Phenix City city,84.8,21
AL,Phil Campbell town,78.5,34.4
AL,Pickensville town,70,22.4
AL,Piedmont city,76.8,25.6
AL,Pike Road town,95.8,2.3
AL,Pinckard town,88.6,13
AL,Pine Apple town,81.5,21
AL,Pine Hill town,89.1,48.5
AL,Pine Level CDP,90.5,9.6
AL,Pine Ridge town,54.6,44.7
AL,Pinson city,93.2,5.8
AL,Pisgah town,78.7,31.9
AL,Pleasant Grove city,91.1,6.4
AL,Pleasant Groves town,85,8.2
AL,Point Clear CDP,89.1,12.1
AL,Pollard town,82.3,24.2
AL,Powell town,61.2,31.5
AL,Prattville city,89.9,11.5
AL,Priceville town,91,5.8
AL,Prichard city,78.5,36.3
AL,Providence town,90.5,10.8
AL,Putnam CDP,72.8,30
AL,Ragland town,73.9,17
AL,Rainbow City city,92.5,17.7
AL,Rainsville city,82.3,16.7
AL,Ranburne town,86.5,5.8
AL,Ray CDP,82.9,5.8
AL,Red Bay city,77.1,29.9
AL,Redland CDP,91.8,5.9
AL,Red Level town,79.2,17.6
AL,Redstone Arsenal CDP,94,9.8
AL,Reece City town,85.6,13.7
AL,Reeltown CDP,78.5,0
AL,Reform town,79.4,39.9
AL,Rehobeth town,84.9,9.5
AL,Repton town,58,34.6
AL,Ridgeville town,69.6,35.9
AL,River Falls town,64.6,20.5
AL,Riverside town,87,4.8
AL,Riverview town,75.5,15.9
AL,Roanoke city,77.2,20.3
AL,Robertsdale city,79.9,10.6
AL,Rock Creek CDP,85.2,8.1
AL,Rockford town,68.4,38.1
AL,Rock Mills CDP,70.4,36.7
AL,Rockville CDP,64.7,0
AL,Rogersville town,81.9,28.7
AL,Rosa town,81.3,11.4
AL,Russellville city,68.9,34.4
AL,Rutledge town,69.8,13.5
AL,St. Florian town,91.7,5
AL,St. Stephens CDP,88.2,25.9
AL,Saks CDP,78.6,17.9
AL,Samson city,65.7,39.6
AL,Sand Rock town,80.8,5.9
AL,Sanford town,73.1,17.5
AL,Saraland city,85.4,11.2
AL,Sardis City town,88.7,12.5
AL,Satsuma city,91.8,10.3
AL,Scottsboro city,81.8,16
AL,Section town,76.6,25.9
AL,Selma city,77.8,41.9
AL,Selmont-West Selmont CDP,78.1,45.5
AL,Semmes city,77.3,19.2
AL,Sheffield city,79.5,25
AL,Shelby CDP,78.9,36.8
AL,Shiloh town,75.6,13.7
AL,Shoal Creek CDP,99.6,2.6
AL,Shorter town,68.4,12.9
AL,Silas town,66,49
AL,Silverhill town,89.3,7.5
AL,Sims Chapel CDP,100,8.6
AL,Sipsey town,83.2,15.2
AL,Skyline town,75.4,19.4
AL,Slocomb city,75.5,17.7
AL,Smiths Station city,80.3,13.5
AL,Smoke Rise CDP,92.7,5
AL,Snead town,80.3,11
AL,Somerville town,78.4,18.7
AL,Southside city,90.3,4.7
AL,South Vinemont town,79.1,32.8
AL,Spanish Fort city,95.8,7.8
AL,Spring Garden CDP,100,20.7
AL,Springville city,91.1,9.3
AL,Spruce Pine CDP,76.6,0
AL,Standing Rock CDP,61.4,0
AL,Stapleton CDP,84.1,7
AL,Steele town,78.7,17.5
AL,Sterrett CDP,64.1,8.5
AL,Stevenson city,81.6,24.5
AL,Stewartville CDP,73.7,17.5
AL,Stockton CDP,91.3,1.4
AL,Sulligent city,74,26.4
AL,Sumiton city,85.1,17.6
AL,Summerdale town,85.3,11.2
AL,Susan Moore town,75,20.6
AL,Sweet Water town,92.5,1.6
AL,Sylacauga city,82.5,29.8
AL,Sylvania town,83.6,17.9
AL,Sylvan Springs town,86.9,5.3
AL,Talladega city,73.9,27.2
AL,Talladega Springs town,80.1,12.5
AL,Tallassee city,88.9,17.1
AL,Tarrant city,78.6,31.8
AL,Taylor town,83.6,19.6
AL,Theodore CDP,85.4,12.2
AL,Thomaston town,89.3,18.3
AL,Thomasville city,82.4,13.3
AL,Thorsby town,80.7,19.2
AL,Tibbie CDP,100,70.8
AL,Tidmore Bend CDP,80.6,12.1
AL,Tillmans Corner CDP,82.1,17.7
AL,Town Creek town,83.2,29.6
AL,Toxey town,85.6,33.5
AL,Trafford town,80.8,29.1
AL,Triana town,81.4,27.1
AL,Trinity town,93.7,10
AL,Troy city,83.7,31.1
AL,Trussville city,96.3,4.7
AL,Tuscaloosa city,87.3,25.1
AL,Tuscumbia city,86.2,15.3
AL,Tuskegee city,83.6,27.6
AL,Twin town,77.6,16.5
AL,Underwood-Petersville CDP,77.1,12.9
AL,Union town,76.2,22.7
AL,Union Grove town,91.7,6.2
AL,Union Springs city,57.1,26.8
AL,Uniontown town,66.1,48.4
AL,Uriah CDP,83.8,14.7
AL,Valley city,84.9,18.5
AL,Valley Grande city,85.9,12.3
AL,Valley Head town,75.7,23.2
AL,Vance town,88,9
AL,Vandiver CDP,75.9,12.3
AL,Vernon city,81,31.1
AL,Vestavia Hills city,97.3,4.3
AL,Vina town,57.3,23.9
AL,Vincent town,77.5,10.9
AL,Vinegar Bend CDP,64.5,0
AL,Vredenburgh town,73.5,39
AL,Wadley town,73.9,34.7
AL,Waldo town,75.8,22
AL,Walnut Grove town,68.4,10.3
AL,Warrior city,86.9,18.8
AL,Waterloo town,73.6,18.2
AL,Waverly town,74.1,10.9
AL,Weaver city,83.9,5.7
AL,Webb town,78,18.7
AL,Wedowee town,70.1,26.7
AL,Weogufka CDP,56.3,43.2
AL,West Blocton town,79.9,31.6
AL,West End-Cobb Town CDP,68.1,19.6
AL,West Jefferson town,88.3,10.2
AL,Westover town,85.2,13.4
AL,West Point town,86.9,14.2
AL,Wetumpka city,85,10.7
AL,Whatley CDP,-,-
AL,White Hall town,66.6,42.7
AL,White Plains CDP,95.7,5
AL,Whitesboro CDP,84.4,25.2
AL,Wilsonville town,88,20.3
AL,Wilton town,84.6,12
AL,Winfield city,86.8,13.3
AL,Woodland town,86.4,26.6
AL,Woodstock town,89.5,13.5
AL,Woodville town,77.7,25.9
AL,Yellow Bluff town,62,44.1
AL,York city,77.1,46.8
AK,Adak city,93.4,39.3
AK,Akhiok city,62.5,40.5
AK,Akiachak CDP,76.7,26.1
AK,Akiak city,81.3,31.3
AK,Akutan city,73,16.1
AK,Alakanuk city,65.4,44.6
AK,Alatna CDP,100,0
AK,Alcan Border CDP,100,0
AK,Aleknagik city,84,11.6
AK,Aleneva CDP,0,0
AK,Allakaket city,72.9,9.1
AK,Ambler city,78.7,21.4
AK,Anaktuvuk Pass city,80.9,26.3
AK,Anchorage municipality,93,8.2
AK,Anchor Point CDP,93.8,10.1
AK,Anderson city,98.6,0
AK,Angoon city,86.7,17.8
AK,Aniak city,83.8,19
AK,Anvik city,94.2,16.3
AK,Arctic Village CDP,75,36.6
AK,Atka city,89.5,1.5
AK,Atmautluak CDP,70.2,25.6
AK,Atqasuk city,75.9,23.3
AK,Attu Station CDP,100,-
AK,Badger CDP,96.2,4.5
AK,Barrow city,84.6,11.7
AK,Bear Creek CDP,92.5,12.7
AK,Beaver CDP,69.8,30
AK,Beluga CDP,66.7,33.3
AK,Bethel city,85.8,11.4
AK,Bettles city,100,0
AK,Big Delta CDP,97.6,13
AK,Big Lake CDP,90.4,9.6
AK,Birch Creek CDP,0,100
AK,Brevig Mission city,78,57.6
AK,Buckland city,86.2,24.4
AK,Buffalo Soapstone CDP,90.4,4.6
AK,Butte CDP,94.3,9.6
AK,Cantwell CDP,95,9.1
AK,Central CDP,82.2,5.2
AK,Chalkyitsik CDP,88.7,36.6
AK,Chase CDP,65.2,0
AK,Chefornak city,74.3,18.4
AK,Chena Ridge CDP,96.5,4.9
AK,Chenega CDP,100,34.8
AK,Chevak city,82.8,32.8
AK,Chickaloon CDP,91.7,13.5
AK,Chicken CDP,-,-
AK,Chignik city,100,0
AK,Chignik Lagoon CDP,84,0
AK,Chignik Lake CDP,68.2,8.6
AK,Chiniak CDP,100,0
AK,Chisana CDP,-,-
AK,Chistochina CDP,80,20.3
AK,Chitina CDP,82.6,15
AK,Chuathbaluk city,92,50.5
AK,Circle CDP,54.3,63.6
AK,Clam Gulch CDP,84.3,13.2
AK,Clark's Point city,74.2,55.4
AK,Coffman Cove city,91.9,6
AK,Cohoe CDP,95,16
AK,Cold Bay city,97.5,0
AK,Coldfoot CDP,70,30
AK,College CDP,94.9,8.2
AK,Cooper Landing CDP,95.3,4.2
AK,Copper Center CDP,84.8,18.8
AK,Cordova city,91.6,5.8
AK,Covenant Life CDP,100,0
AK,Craig city,89.3,13.9
AK,Crooked Creek CDP,80.8,39.8
AK,Crown Point CDP,100,0
AK,Deering city,88,14
AK,Delta Junction city,95.4,10.6
AK,Deltana CDP,93.8,14.9
AK,Diamond Ridge CDP,97,9.2
AK,Dillingham city,93.6,12.3
AK,Diomede city,63.6,65.1
AK,Dot Lake CDP,-,-
AK,Dot Lake Village CDP,64.9,25.9
AK,Dry Creek CDP,100,15.5
AK,Eagle city,90.7,25.8
AK,Eagle Village CDP,82.4,17.6
AK,Edna Bay city,-,-
AK,Eek city,68.7,21.2
AK,Egegik city,91.1,17.6
AK,Eielson AFB CDP,96.6,6.8
AK,Ekwok city,63.4,28.6
AK,Elfin Cove CDP,100,0
AK,Elim city,86.9,29.3
AK,Emmonak city,83.9,25.8
AK,Ester CDP,95,9.1
AK,Eureka Roadhouse CDP,-,-
AK,Evansville CDP,78.6,0
AK,Excursion Inlet CDP,86.7,12.5
AK,Fairbanks city,91.2,13.1
AK,False Pass city,100,5.4
AK,Farmers Loop CDP,98.9,5.8
AK,Farm Loop CDP,92.4,4.1
AK,Ferry CDP,100,100
AK,Fishhook CDP,94.5,4.8
AK,Flat CDP,-,-
AK,Fort Greely CDP,100,0
AK,Fort Yukon city,77.1,18.5
AK,Four Mile Road CDP,50,0
AK,Fox CDP,100,0
AK,Fox River CDP,37.9,17.1
AK,Fritz Creek CDP,92.7,11.7
AK,Funny River CDP,94.3,11.9
AK,Gakona CDP,92.9,8.8
AK,Galena city,86.4,7.9
AK,Gambell city,72.4,41.3
AK,Game Creek CDP,100,0
AK,Gateway CDP,96.1,7.8
AK,Glacier View CDP,90.2,9.2
AK,Glennallen CDP,94.4,0
AK,Goldstream CDP,97.3,3.7
AK,Golovin city,90.4,39.4
AK,Goodnews Bay city,58.6,36.2
AK,Grayling city,70.4,42
AK,Gulkana CDP,91.2,7.8
AK,Gustavus city,95.6,8.1
AK,Haines CDP,95.4,5.1
AK,Halibut Cove CDP,100,0
AK,Happy Valley CDP,91.4,15.5
AK,Harding-Birch Lakes CDP,94.5,4.2
AK,Healy CDP,93.6,6.8
AK,Healy Lake CDP,-,-
AK,Hobart Bay CDP,-,-
AK,Hollis CDP,89.5,4.8
AK,Holy Cross city,86.1,13.1
AK,Homer city,95.9,12.6
AK,Hoonah city,87.7,16.4
AK,Hooper Bay city,75,40.9
AK,Hope CDP,100,0
AK,Houston city,90.2,14.8
AK,Hughes city,92.6,21
AK,Huslia city,93.1,24.5
AK,Hydaburg city,90.1,17.3
AK,Hyder CDP,53.8,46.2
AK,Igiugig CDP,90.3,6.1
AK,Iliamna CDP,88.7,15.8
AK,Ivanof Bay CDP,-,-
AK,Juneau city and borough,94.8,6.6
AK,Kachemak city,92.6,8.9
AK,Kake city,85.7,21.8
AK,Kaktovik city,76.5,4.1
AK,Kalifornsky CDP,96.3,5.1
AK,Kaltag city,86.4,13.5
AK,Karluk CDP,85,31.8
AK,Kasaan city,90.2,2.8
AK,Kasigluk CDP,68.1,35.8
AK,Kasilof CDP,100,5.7
AK,Kenai city,89.7,10.9
AK,Kenny Lake CDP,100,35.9
AK,Ketchikan city,89.9,16.6
AK,Kiana city,76.1,36.3
AK,King Cove city,87.3,17.5
AK,King Salmon CDP,93.2,11.9
AK,Kipnuk CDP,76.4,35.1
AK,Kivalina city,64.6,29.9
AK,Klawock city,86.2,17.5
AK,Klukwan CDP,86.5,10.6
AK,Knik-Fairview CDP,91.2,8.2
AK,Knik River CDP,93,7.1
AK,Kobuk city,72.1,49.1
AK,Kodiak city,87.1,11.8
AK,Kodiak Station CDP,97.2,6.8
AK,Kokhanok CDP,84.5,24.1
AK,Koliganek CDP,77.3,14.7
AK,Kongiganak CDP,79.4,26.2
AK,Kotlik city,74.2,31.6
AK,Kotzebue city,82.9,16.3
AK,Koyuk city,82.4,48.9
AK,Koyukuk city,82.4,46.3
AK,Kupreanof city,100,5
AK,Kwethluk city,75.9,28.3
AK,Kwigillingok CDP,78.8,21.5
AK,Lake Louise CDP,73.3,46.7
AK,Lake Minchumina CDP,88.2,14.3
AK,Lakes CDP,95.1,7.3
AK,Larsen Bay city,78.7,13.1
AK,Lazy Mountain CDP,97.1,8.2
AK,Levelock CDP,88.6,20.2
AK,Lime Village CDP,28.6,85.7
AK,Livengood CDP,100,0
AK,Loring CDP,-,-
AK,Lowell Point CDP,100,35.5
AK,Lower Kalskag city,78.5,35.2
AK,Lutak CDP,100,0
AK,McCarthy CDP,74.4,0
AK,McGrath city,93.7,16.8
AK,McKinley Park CDP,97.1,30.2
AK,Manley Hot Springs CDP,86.7,33.3
AK,Manokotak city,87.5,17.4
AK,Marshall city,86,20.3
AK,Meadow Lakes CDP,90.4,12.9
AK,Mekoryuk city,80.2,18.4
